trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.5, 'e': 0.18268352405273466}",30,11,27.33125716802889,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,16,26.650947371586007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.17906614791149325}",25,14,-2.4032004046229845,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17728440996987782}",30,6,-57.19305819154177,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
174,False,"{'a': 0.5, 'e': 0.1755204006169969}",20,7,-30.601647772218563,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.17377394345044514}",30,20,17.65431135046296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.17204486382305054}",30,20,9.904823173499318,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.17033298882540945}",30,16,27.733647538265053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16863814726859552}",30,16,16.658215616778406,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.16696016966704072}",35,21,1.400255204744587,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158656}",25,8,-10.315552052117871,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270408}",20,7,15.728097342048109,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.16202575093388077}",30,22,9.473638562603988,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
